model,familiarize_side,scenic_rate_entry,scenic_time_share_barrier,split_delta_novelty,mean_valence_scenic,mean_valence_dull,mean_arousal_scenic,mean_arousal_dull,n
Ipsundrum,both,,,,,,,,0
Ipsundrum,dull,,,,,,,,0
Ipsundrum,scenic,,,,,,,,0
Ipsundrum+affect,both,0.9111111111111111,0.9111111111111111,-0.00978590063361124,0.7477444272199257,0.5802739148649216,0.10257698618103991,0.13443334755019054,44
Ipsundrum+affect,dull,0.9111111111111111,0.9111111111111111,0.18556396249846224,0.7473434641469704,0.5802739148649216,0.10296114879571774,0.13443334755019054,45
Ipsundrum+affect,scenic,0.9111111111111111,0.9111111111111111,-0.40506606315040256,0.7477444272199257,0.5753380797457979,0.10257698618103991,0.135709812403629,44
Ipsundrum+affect_modulation_only,both,0.86,0.86,-0.00664844170787844,0.738554562535976,0.5749804471744757,0.10414584483084255,0.17704129591108972,50
Ipsundrum+affect_modulation_only,dull,0.8777777777777779,0.8777777777777779,0.20969110323263135,0.7322366236170523,0.5712968227304829,0.10749010301307702,0.1837057660416722,49
Ipsundrum+affect_modulation_only,scenic,0.8577777777777778,0.8715277777777779,-0.37286719145366365,0.7442448477693498,0.567383702558316,0.10275051676694391,0.16907634089315862,49
Ipsundrum+affect_readout_only,both,0.96,0.96,-0.01027128163940104,0.8193560339328239,0.6318419796143,0.08366602130590609,0.13352677041261685,47
Ipsundrum+affect_readout_only,dull,0.96,0.96,0.18365247600337747,0.8194591146563347,0.6318419796143,0.0833001953036156,0.13352677041261685,47
Ipsundrum+affect_readout_only,scenic,0.96,0.96,-0.4067855566207882,0.8191603624503742,0.6256535545968103,0.08390375187128898,0.1348474820147792,47
Recon,both,,,,,,,,0
Recon,dull,,,,,,,,0
Recon,scenic,,,,,,,,0
