model,model_display,metric,mean,ci_low,ci_high,n
perspective,Perspective,robustness,0.5195490047486913,0.49622428068066393,0.5442620930631611,16
perspective,Perspective,selector_focus_conflict,0.25,0.25,0.25,16
perspective,Perspective,degradation_conflict,-0.0026675902040075583,-0.010871749335406408,0.005063006705908043,16
perspective_plastic,Perspective+plastic,robustness,0.5196110261833607,0.4962716246308349,0.5443460743743322,16
perspective_plastic,Perspective+plastic,selector_focus_conflict,0.25,0.25,0.25,16
perspective_plastic,Perspective+plastic,degradation_conflict,-0.0026806186263528403,-0.010898556714667901,0.005058160491434905,16
gw_lite,GW-lite,robustness,0.5360710542853007,0.5109184250360534,0.5603042895114925,16
gw_lite,GW-lite,selector_focus_conflict,0.34791106663048754,0.32759275270336274,0.3669418966479781,16
gw_lite,GW-lite,degradation_conflict,0.0014788236234581087,-0.0030625220732222844,0.006188365742430443,16
humphrey_barrett,Ipsundrum+affect,robustness,0.9996172981247607,0.9996172981247607,0.9996172981247607,16
humphrey_barrett,Ipsundrum+affect,selector_focus_conflict,0.25,0.25,0.25,16
humphrey_barrett,Ipsundrum+affect,degradation_conflict,0.0,0.0,0.0,16
humphrey,Ipsundrum,robustness,0.9784886904848249,0.9784886904848249,0.9784886904848249,16
humphrey,Ipsundrum,selector_focus_conflict,0.25,0.25,0.25,16
humphrey,Ipsundrum,degradation_conflict,0.0,0.0,0.0,16
recon,Recon,robustness,0.0,0.0,0.0,16
recon,Recon,selector_focus_conflict,0.25,0.25,0.25,16
recon,Recon,degradation_conflict,0.0,0.0,0.0,16
