metabolic_load,lambda_affective,mutual_viability,help_rate_when_partner_distressed,episode_joint_longevity,self_cost_of_help
low,0.0,0.1499999999999999,0.0,18.0,0.055
low,0.25,0.2888888888888888,1.0,18.0,0.055
low,0.5,0.2293650793650793,1.0,18.0,0.085
low,0.75,0.2095238095238095,1.0,18.0,0.095
low,1.0,0.3285714285714285,1.0,18.0,0.3250000000000002
medium,0.0,0.0376984126984127,0.0,8.0,0.2000000000000001
medium,0.25,0.0376984126984127,0.0,8.0,0.2000000000000001
medium,0.5,0.0376984126984127,0.0,8.0,0.2000000000000001
medium,0.75,0.0376984126984127,0.0,8.0,0.2000000000000001
medium,1.0,0.0376984126984127,0.0,8.0,0.2000000000000001
high,0.0,0.0238095238095238,0.0,7.0,0.2900000000000001
high,0.25,0.0238095238095238,0.0,7.0,0.2900000000000001
high,0.5,0.0238095238095238,0.0,7.0,0.2900000000000001
high,0.75,0.0238095238095238,0.0,7.0,0.2900000000000001
high,1.0,0.0238095238095238,0.0,7.0,0.2900000000000001
