metabolic_load,lambda_affective,help_rate_when_partner_distressed,mutual_viability,self_cost_of_help
high,0.0,0.0,0.3888888888888889,0.2900000000000001
high,0.25,0.0,0.3888888888888889,0.2900000000000001
high,0.5,0.0,0.3888888888888889,0.2900000000000001
high,0.75,0.0,0.3888888888888889,0.3400000000000001
high,1.0,0.0,0.3888888888888889,0.2900000000000001
low,0.0,0.0,1.0,0.055
low,0.25,1.0,1.0,0.065
low,0.5,1.0,1.0,0.1050000000000001
low,0.75,1.0,1.0,0.1150000000000001
low,1.0,0.0,1.0,0.2550000000000002
medium,0.0,0.0,0.4444444444444444,0.2000000000000001
medium,0.25,0.0,0.4444444444444444,0.2000000000000001
medium,0.5,0.0,0.4444444444444444,0.2000000000000001
medium,0.75,0.0,0.4444444444444444,0.2700000000000002
medium,1.0,0.0,0.4444444444444444,0.2000000000000001
